Product Name,Image,Sub - Category,Potential Supplier,Supplier Model Number,Heyzack Refeance Number,MOQ,SALES PRICE,Price,Order Price,Launchboom,Specification,Features,Communication Protocol,Power Source,Specs-final,Main Catagory 
"10.1"" touch control panel with Gateway",,Smart Control Panel,Tuya,GS-T2E-TPA10-M2E,,"87,00 €","522,00 €",192,,,"Model: GS-T2E-TPA10-M2U
T2E MAX is a Tuya smart central control panel, Zigbee & Bluetooth independent
chips, integrate Zigbee and Bluetooth gateway functions, support Bluetooth BLE &
BLE mesh Sub-devicee, and have edge capabilities for locaalized control.

Device control: Fully compatible device access and diversified control forms are compatible with almost
all Tuya ecological devices.
Scene control: Customs physical buttons, screen interaction, and voice interaction can trigger scenes to
meet different needs in life.
I-Share technology and T- Control Technology

Rich interface: A variety of base forms are supported, the standard base uses zero-fire wire wire wiring,
supports dual relays, RJ45 network port and RS485.
Chinese;Chinese;English;Spanish;French;Arabic;German;Portuguese;Italian;Korean;Japanese;Hindi;Gr
eek;Polish;Hungarian;Czech;Slovak;Hebrew;","1. Turn off every light in the house from your bedside—no more walking room to room before bed.
2. One tap on the wall shuts the downstairs, arms the sensors, and dims the bedroom—your nightly routine in a second.
3. The panel keeps working even if the Wi-Fi drops, so lights, locks, and sensors stay obedient while you stay calm.
4. Swap your old switch for this 10-inch screen and gain a thermostat, intercom, and camera dashboard without new holes or extra hubs.
5. Set the “Movie Night” scene once—lights dim, temperature drops, popcorn stays warm—and call it back every Friday with a single word.",,,"Model: GS-T2E-TPA10-M2U | Description: T2E MAX is a Tuya smart central control panel, Zigbee & Bluetooth independent chips, integrate Zigbee and Bluetooth gateway functions, support Bluetooth BLE & BLE mesh Sub-devicee, and have edge capabilities for locaalized control | Device control: Fully compatible device access and diversified control forms are compatible with almost all Tuya ecological devices | Scene control: Customs physical buttons, screen interaction, and voice interaction can trigger scenes to meet different needs in life | Technology: I-Share technology and T- Control Technology | Interface: A variety of base forms are supported, the standard base uses zero-fire wire wire wiring, supports dual relays, RJ45 network port and RS485 | Languages: Chinese;Chinese;English;Spanish;French;Arabic;German;Portuguese;Italian;Korean;Japanese;Hindi;Greek;Polish;Hungarian;Czech;Slovak;Hebrew",Smart Devices
3 gang rotate control panel (Gateway),,Smart Control Panel,Tuaon,TPR01-B(EU),,"149,00 €","894,00 €",57,,,"This is a smart knob central control screen with 3gang switch, based on
WiFi Bluetooth gateway, which can control smart home devices such as
curtains, air conditioners, TVs, switches, lighting dimming systems, door
locks, cameras, etc.
1、Input：100-240VAC , 50/60Hz
2、Wireless protoco ：Wi-Fi，BLE
3、Operation temperature ：0~40℃
4、Operation humidity ：5% ~ 90%RH without condensation
5、Size：86×86×11.5mm（panel）and 86×86×51.4mm（with base）
6、Load -Maximum Load Single：200W MAX;Total 600W MAX
7、Screen：
Size： 1.6 inch
Resolution： 400*400
Type ：TFT Display","1. Walk out knowing every light, lock, and camera is off or on from one spot by the door—no second-guessing or backtracking upstairs.
2. Twist the knob to dim movie lights and drop the thermostat without standing up—one motion, two seconds, couch time stays uninterrupted.
3. Set bedtime scenes that shut blinds, switch off TVs, and lock doors together—tap once, then slide under covers instead of touring the house.
4. Trim energy bills by turning forgotten hallway or porch lights down from bed—the screen shows what’s still on, so nothing burns overnight.
5. Replace three separate switches with a single sleek panel that sits flush with your wall—cleaner look, zero clutter, no extra apps to learn.",,,"Product Description: Smart knob central control screen with 3gang switch, based on WiFi Bluetooth gateway, which can control smart home devices such as curtains, air conditioners, TVs, switches, lighting dimming systems, door locks, cameras, etc. | Input: 100-240VAC, 50/60Hz | Wireless Protocol: Wi-Fi, BLE | Operation Temperature: 0~40℃ | Operation Humidity: 5% ~ 90%RH without condensation | Size: 86×86×11.5mm (panel) and 86×86×51.4mm (with base) | Load: Maximum Load Single: 200W MAX; Total 600W MAX | Screen Size: 1.6 inch | Screen Resolution: 400*400 | Screen Type: TFT Display",Climate
1 Gang Display Light switch,,Smart Switch,Keeper Cloud,,,"192,00 €","1 152,00 €",15.60,,,"* Name: Screen display Lighting switch
* Standard: UK, EU standard
* Control button: 1gang
* Input voltage: 100V-240V AC 50-60HZ
* Communication method: WiFi, ZigBee
* WIFI standard: 802.11b/g/n 2.4GHZ
* Wiring: N+L line
* Load power: ≤600W (N+L line)
* Wireless power consumption: ≤0.3W
* Control method: manual  button control/APP control/AI voice control
* Panel material: PC flame retardant material
* Size: 86*86*34mm
* Color: White/Black/Grey","1. Walk into a lit hallway without fumbling for the switch—your phone or voice turns the light on before your feet touch the floor.
2. Leave the house knowing every light is off—one tap in the app shuts them all down, no second-guessing, no U-turns.
3. Cut your bulb electricity bill without noticing—smart scheduling switches lights off automatically when rooms sit empty.
4. Change brightness hands-full while carrying laundry—just say “set kitchen to half” and keep moving.
5. Sleep easier with a flame-retardant faceplate that stays cool to the touch, even after hours of use.",,,"Name: Screen display Lighting switch | Standard: UK, EU standard | Control button: 1gang | Input voltage: 100V-240V AC 50-60HZ | Communication method: WiFi, ZigBee | WIFI standard: 802.11b/g/n 2.4GHZ | Wiring: N+L line | Load power: ≤600W (N+L line) | Wireless power consumption: ≤0.3W | Control method: manual button control/APP control/AI voice control | Panel material: PC flame retardant material | Size: 868634mm | Color: White/Black/Grey",Access
2 Gang Display Light switch,,Smart Switch,Keeper Cloud,,,"57,00 €","342,00 €",17.20,,,"* Name: Screen display Lighting switch
* Standard: UK, EU standard
* Control button: 2gang
* Input voltage: 100V-240V AC 50-60HZ
* Communication method: WiFi, ZigBee
* WIFI standard: 802.11b/g/n 2.4GHZ
* Wiring: N+L line
* Load power: ≤600W (N+L line)
* Wireless power consumption: ≤0.3W
* Control method: manual  button control/APP control/AI voice control
* Panel material: PC flame retardant material
* Size: 86*86*34mm
* Color: White/Black/Grey","1. Walk into a lit house without fumbling for keys—tap “Home” on the app while you’re still at the door and both porch and hallway lights greet you.
2. Say “Goodnight” to Alexa or Google and watch every main-floor light switch off at once, so you can climb the stairs hands-full and worry-free.
3. Cut standby waste to under a penny a month—each switch sips less than 0.3 W in Wi-Fi mode, quietly lowering the electric bill without you changing a bulb.
4. Fit it into any UK or EU box yourself: standard 86 mm face, live-plus-neutral wires only, no extra hubs or batteries, and the flame-retardant PC shell keeps everything cool to the touch.
5. Check or change either light from bed, the airport, or the sofa—two independent gangs in one sleek plate mean no more back-and-forth trips just to be sure the kitchen is dark.",,,"Name: Screen display Lighting switch | Standard: UK, EU standard | Control button: 2gang | Input voltage: 100V-240V AC 50-60HZ | Communication method: WiFi, ZigBee | WIFI standard: 802.11b/g/n 2.4GHZ | Wiring: N+L line | Load power: ≤600W (N+L line) | Wireless power consumption: ≤0.3W | Control method: manual button control/APP control/AI voice control | Panel material: PC flame retardant material | Size: 868634mm | Color: White/Black/Grey",Access
3 Gang Display Light switch,,Smart Switch,Keeper Cloud,,,"100,00 €","600,00 €",18.90,,,"* Name: Screen display Lighting switch
* Standard: UK, EU standard
* Control button: 3gang
* Input voltage: 100V-240V AC 50-60HZ
* Communication method: WiFi, ZigBee
* WIFI standard: 802.11b/g/n 2.4GHZ
* Wiring: N+L line
* Load power: ≤600W (N+L line)
* Wireless power consumption: ≤0.3W
* Control method: manual  button control/APP control/AI voice control
* Panel material: PC flame retardant material
* Size: 86*86*34mm
* Color: White/Black/Grey","1. Walk into a lit hallway without fumbling for switches—your phone, voice, or a tap turns on any of the three lights before you reach them.
2. Leave the house knowing every light is off—one swipe in the app checks and shuts down all three gangs so no bulb wastes energy while you’re away.
3. Fit it like any standard switch—86 mm square, live-plus-neutral wiring, and it locks into your existing UK/EU back-box in minutes with no new holes.
4. Speak to dim the kitchen, porch, and ceiling fans together—“Alexa, movie mode” cuts them to preset levels without leaving the sofa or lifting a finger.
5. Sleep easier behind flame-retardant PC—if an overload occurs, the housing resists heat so the switch and wall stay cool through the night.",,,"Name: Screen display Lighting switch | Standard: UK, EU standard | Control button: 3gang | Input voltage: 100V-240V AC 50-60HZ | Communication method: WiFi, ZigBee | WIFI standard: 802.11b/g/n 2.4GHZ | Wiring: N+L line | Load power: ≤600W (N+L line) | Wireless power consumption: ≤0.3W | Control method: manual button control/APP control/AI voice control | Panel material: PC flame retardant material | Size: 868634mm | Color: White/Black/Grey",Access
4 Gang Display Light switch,,Smart Switch,Keeper Cloud,,,"15,60 €","93,60 €",20.60,,,"* Name: Screen display Lighting switch
* Standard: UK, EU standard
* Control button: 4gang
* Input voltage: 100V-240V AC 50-60HZ
* Communication method: WiFi, ZigBee
* WIFI standard: 802.11b/g/n 2.4GHZ
* Wiring: N+L line
* Load power: ≤600W (N+L line)
* Wireless power consumption: ≤0.3W
* Control method: manual  button control/APP control/AI voice control
* Panel material: PC flame retardant material
* Size: 86*86*34mm
* Color: White/Black/Grey","1. Walk into any room and the lights are already on—ask Siri, Alexa, or Google to light the hallway before your hands are free.
2. Turn off every light from bed with a tap on your phone—no more stumbling through dark rooms to check each switch.
3. The flame-retardant faceplate adds quiet peace of mind that the switch itself won’t feed a fire if something goes wrong.
4. Set schedules once and forget them—porch and kitchen lights greet you after work while cutting nightly energy use to almost zero.
5. One sleek plate replaces four old switches, clearing wall clutter and giving every room a clean, finished look in minutes.",,,"Name: Screen display Lighting switch | Standard: UK, EU standard | Control button: 4gang | Input voltage: 100V-240V AC 50-60HZ | Communication method: WiFi, ZigBee | WIFI standard: 802.11b/g/n 2.4GHZ | Wiring: N+L line | Load power: ≤600W (N+L line) | Wireless power consumption: ≤0.3W | Control method: manual button control/APP control/AI voice control | Panel material: PC flame retardant material | Size: 868634mm | Color: White/Black/Grey",Access
Smart switch PC ,,Smart Switch,HONGSHENGXU,M8-pro PC,,"17,20 €","103,20 €",22,,,"Specification parameters
● Grey， Black, White
● Control:4 street lamp control
● Power supply mode: zero live wire
● Rated voltage: AC100V - 240v 50 ~ 60hz
● Operating temperature: -20℃-45℃
● Working humidity: ≤ 85% RH (non-condensing)
● Shell material: PC
● flame retardant material
● Panel material:PC
● Wireless connection: ZigBee 3.0Wireless
power consumption: ≤0.3W11.
● Other functions: You can set binding through the APP to
control 8 scenes, 4 dimming lights, and 4 curtains
Product function introduction
●UK: TUYA ZIGBEE intelligent switch, PC shell, button control,
with backlight, with human body sensing, mobile APP remote
control, support intelligent speaker voice control, timing switch,
countdown switch, real-time status feedback, intelligent linkage,
family sharing","1. Walk into a lit house without fumbling for switches—your porch, hall, and two rooms turn on together the moment the sensor sees you.
2. Say “goodnight” once and every downstairs lamp switches off at once, so you can head upstairs knowing everything’s dark and secure.
3. Dim four lights from the sofa to set movie-time brightness without standing up or touching a single switch.
4. Schedule the front light to turn off at sunrise and save up to 0.3 W of standby power—no daily effort, just a lower bill.
5. Share control with the whole family through one simple app, so anyone can adjust lights or curtains without new accounts or extra fees.",,,"Colors: Grey, Black, White | Control: 4 street lamp control | Power supply mode: zero live wire | Rated voltage: AC100V - 240V 50 ~ 60Hz | Operating temperature: -20℃-45℃ | Working humidity: ≤ 85% RH (non-condensing) | Shell material: PC | Flame retardant material | Panel material: PC | Wireless connection: ZigBee 3.0 | Power consumption: ≤0.3W | Other functions: You can set binding through the APP to control 8 scenes, 4 dimming lights, and 4 curtains | Product function introduction: UK: TUYA ZIGBEE intelligent switch, PC shell, button control, with backlight, with human body sensing, mobile APP remote control, support intelligent speaker voice control, timing switch, countdown switch, real-time status feedback, intelligent linkage, family sharing",Climate
Smart 1 Gang Dry Contact Switch with power monitering (16A),,Smart DIY Breaker,Wenhui,WHD09-Z-1CH,,"18,90 €","113,40 €",4.30,,,"*Current: 10A/16A
*Item Type: Smart Switches
*Switch Type: APP control
*Features: MINI
*Voltage: AC 100V-240V 110V 220V 60HZ/50HZ
*Controller size: 45*45*24mm
*Controller weight:50g","1. Turn the sprinkler pump off from bed instead of trekking across wet grass at midnight.
2. Know instantly if the attic fan is still running, so you stop paying to cool an empty space.
3. Swap the old switch yourself—no new box, no neutral, just wire and tuck the tiny 45 mm cube inside.
4. Run holiday lights for pennies: the app tallies every watt, so you unplug before the bill creeps up.
5. Leave home confident the garage heater is really off; one tap on the phone replaces the “did I?” drive-back.",,,Current: 10A/16A | Item Type: Smart Switches | Switch Type: APP control | Features: MINI | Voltage: AC 100V-240V 110V 220V 60HZ/50HZ | Controller size: 454524mm | Controller weight: 50g,Energy
Smart 2 Gang Dry Contact Switch with power monitering (16A),,Smart DIY Breaker,Wenhui,WHD09-Z-2CH,,"20,60 €","123,60 €",5.00,,,"*Current: 10A/16A
*Item Type: Smart Switches
*Switch Type: APP control
*Features: MINI
*Voltage: AC 100V-240V 110V 220V 60HZ/50HZ
*Controller size: 45*45*24mm
*Controller weight:50g","1. Turn the lights or pool pump off from bed, so you can stay cozy and still hit every switch before sleep.
2. The tiny 45 mm box hides inside any wall, keeping counters clear and rooms looking clean.
3. Check which gadgets are quietly running up your bill, then cut them off and watch next month’s statement shrink.
4. Set heaters or fans to shut down automatically, so rooms stay comfortable without you remembering a thing.
5. Kill power to outdoor fixtures while you’re away, adding peace of mind that nothing’s left live at home.",,,Current: 10A/16A | Item Type: Smart Switches | Switch Type: APP control | Features: MINI | Voltage: AC 100V-240V 110V 220V 60HZ/50HZ | Controller size: 454524mm | Controller weight:50g,Energy
Smart 3 Gang Dry Contact Switch with power monitering (16A),,Smart DIY Breaker,Wenhui,WHD09-Z-3CH,,"22,00 €","132,00 €",7.50,,,"*Current: 10A/16A
*Item Type: Smart Switches
*Switch Type: APP control
*Features: MINI
*Voltage: AC 100V-240V 110V 220V 60HZ/50HZ
*Controller size: 45*45*24mm
*Controller weight:50g","1. Know instantly if the iron, pool pump, or garage heater was left on—tap once on your phone and turn it off from the couch, the car, or the grocery line.
2. Check real-time power use for each switch and spot the energy hogs before the monthly bill arrives—no more surprise charges or second-guessing what’s driving costs up.
3. Replace three separate timers with one palm-sized switch that fits inside any standard box—free up wall space and declutter your switches without cutting new holes.
4. Set lights, sprinkler, or coffee maker to run only when needed; the schedule lives in the switch, so it works even if Wi-Fi glitches—one less daily task to remember.
5. Handle 100–240 V circuits safely across a full 16 A load; the built-in relay cuts power cleanly, giving you pro-level control without opening the panel or touching a wire.",,,Current: 10A/16A | Item Type: Smart Switches | Switch Type: APP control | Features: MINI | Voltage: AC 100V-240V 110V 220V 60HZ/50HZ | Controller size: 454524mm | Controller weight:50g,Energy
Smart 4 Gang Dry Contact Switch with power monitering (16A),,Smart DIY Breaker,Wenhui,WHD09-Z-4CH,,"1 000,00 €","6 000,00 €",9.0$,,,"*Current: 10A/16A
*Item Type: Smart Switches
*Switch Type: APP control
*Features: MINI
*Voltage: AC 100V-240V 110V 220V 60HZ/50HZ
*Controller size: 45*45*24mm
*Controller weight:50g","1. Turn off the porch, sprinkler, or holiday lights from bed—no more late-night walks to the garage.
2. Know if the attic fan or heater is still running before you leave for work, so you never waste a day’s electricity.
3. Check every switch from your phone on vacation, and come home to the exact same energy bill you left with.
4. Swap four old switches for one tiny plate—no new boxes, no wall mess, just clean control in under 30 minutes.
5. Hear the kids yelling about forgotten basement lights? Tap once and finish dinner without leaving the kitchen.",,,Current: 10A/16A | Item Type: Smart Switches | Switch Type: APP control | Features: MINI | Voltage: AC 100V-240V 110V 220V 60HZ/50HZ | Controller size: 454524mm | Controller weight:50g,Energy
Smart Curtain Switch Module Zigbee ( 2 Channel),,Smart DIY Breaker,Tuaon,"GS-zigbee-CU02-
Curtain",,"4,30 €","25,80 €",9.90,,,"Voltage: AC110-240V 50/60Hz
Max. Load: LED 250W 2x3A
Operation frequency: 2.412GHZ-4.484GHz
Operation temp.: -10 ℃-+40℃
Protocol: WIFI IEEE 802.11 b/g/h
Operation range: less then 100m
Dims(WxDxH) 39.2*39.2*18mm
IP rating: IP20
Warranty: 2 years
Networking: Zigbee 3.0","1. Close both curtains from bed and wake up to natural light instead of a jarring alarm.
2. Set timers once and the curtains open and close on their own, giving you back ten minutes every morning.
3. Make the house look occupied while you’re away by scheduling curtains to move automatically, adding everyday peace of mind.
4. Block harsh afternoon sun without leaving the sofa, keeping rooms cooler and easing the load on your air-conditioner.
5. Swap it into the existing switch box yourself—no new wiring, no tools beyond a screwdriver—and it’s working in under five minutes.",,,Voltage: AC110-240V 50/60Hz | Max. Load: LED 250W 2x3A | Operation frequency: 2.412GHZ-4.484GHz | Operation temp.: -10 ℃-+40℃ | Protocol: WIFI IEEE 802.11 b/g/h | Operation range: less then 100m | Dims(WxDxH): 39.239.218mm | IP rating: IP20 | Warranty: 2 years | Networking: Zigbee 3.0,Energy
DIN Rail Smart Meter,,Smart Climatisation,Tongou,TO-Q-SYS-JW,,"5,00 €","30,00 €",15.71,,,"Features: LCD Display, Remote Control, Voice Control, Time Mode, Circuit Protection, Electricity Consumption, Real-Time Power/Current/Voltage, Temperature Protection, Operation Log, DIN Rail Installation, Maintenance Mode | Poles: Disconnectable L Pole, Direct N Pole | Current Frame(A): 50 | Initial Current Value: 100mA | Monitoring: Realtime Voltage, Current, Power, Power Consumption, Switch State, Device Operating Status | Function: Multiple Timing, Over-voltage/current/Power/Temperature Protection, Remote Control, Voice Control","1. Cut your energy bill by spotting power-hungry appliances in real time, then turn them off from your phone before they waste another dollar.
2. Prevent fires before they start—get instant alerts if any circuit overheats or overloads, and shut it down remotely while you're still at the dinner table.
3. Put the entire house to bed with one tap: schedule every circuit to switch off at bedtime and wake up when the coffee maker needs power.
4. Check that the garage door, water heater, or AC is really off without walking downstairs—open the app and see every switch’s status instantly.
5. Install it yourself in minutes: snap the meter onto the existing rail beside your breakers, no new boxes or rewiring required.",,,"Features: LCD Display, Remote Control, Voice Control, Time Mode, Circuit Protection, Electricity Consumption, Real-Time Power/Current/Voltage, Temperature Protection, Operation Log, DIN Rail Installation, Maintenance Mode | Poles: Disconnectable L Pole, Direct N Pole | Current Frame(A): 50 | Initial Current Value: 100mA | Monitoring: Realtime Voltage, Current, Power, Power Consumption, Switch State, Device Operating Status | Function: Multiple Timing, Over-voltage/current/Power/Temperature Protection, Remote Control, Voice Control",Energy
Smart Radiator Valve Zigbee,,Smart Climatisation,Wenhui,HS code -8481804090,,"7,50 €","45,00 €",12.00,,,"Zigbee Thermostat Radiator Valve Power supply: 3 V, 2xAA batteries, no batteries on the package. Maximum stroke: 5.5mm Accuracy: ±0.5°C Setting temperature range: 5~45C Display temperature range: 0-70°C Ambient temperature: 0~45° Ambient humidity: 5~95%RH (non-condensing) Storage temperature: -5~45°C Timing error: <1% Protection level: IP 20 Button: Knob button	","1. Wake up to the exact temperature you like—no more tiptoeing across cold tiles to twist a stubborn valve.
2. Cut the heating bill room by room; unused spaces stay at a money-saving 5 °C while you stay cozy upstairs.
3. Change any radiator’s setting with a simple turn of the knob—no tools, no app hunt, just one smooth click and you’re done.
4. Trust it to keep the baby’s nursery within half a degree all night, so everyone sleeps safely without sudden hot or cold swings.
5. Two AA batteries last seasons, and when they finally run low you can swap them in seconds—no electrician, no wires, no fuss.",,,"Zigbee Thermostat Radiator Valve | Power supply: 3 V, 2xAA batteries, no batteries on the package | Maximum stroke: 5.5mm | Accuracy: ±0.5°C | Setting temperature range: 5~45C | Display temperature range: 0-70°C | Ambient temperature: 0~45° | Ambient humidity: 5~95%RH (non-condensing) | Storage temperature: -5~45°C | Timing error: <1% | Protection level: IP 20 | Button: Knob button",Climate
Smart Humidity&Temperature sensor with IR(Zigbee),,Smart Climatisation,Tuaon,GS-S09-B-CH125,,"9,00 €","54,00 €",9.75,,,"* Input: DC 5V/1A (Micro USB without adapter)
* Infrared frequency: 38KHz
* Coverage: 360°
* Infrared remote control distance: 10m
* Connection: Wi-Fi 2.4GHz
* Application: Doodle Smart or Smart Life
* Temperature measurement range: 0℃-60℃
[Three-in-one] Infrared remote control + temperature + humidity three functions are integrated together.
You can control these devices remotely with a single tap on your phone's APP.
-- [Infrared remote control] You can use your smartphone to control household appliances, such as set-top boxes,
TV boxes, televisions, air conditioners, fans, DVDS, etc. It is compatible with most brands on the market. See the list
of supported brands in the app for details. In addition, it also has a learning function, which can copy the key function
of the original remote control into the App.
-- [Built-in temperature and humidity sensor and built-in display] With the built-in sensor, you can always know
the temperature and humidity in the room. And do subsequent automation according to their values. For example, turn
on the air conditioner when the temperature is above 26°C, and turn on the humidifier when the humidity is below
50%. (Note: Cannot view history)
-- [Massive infrared code library] Support 4000+ brand, 50000+ cloud infrared code, the cloud continues to update
the supported device library.
【 Voice control 】 By connecting to Amazon Alexa and Google Home, you can control your home appliances by
voice. For example: -Alexa, turn on the TV; -OK Google, set the air conditioning temperature to 25 degrees.
-- [Family sharing function] Share and control with family members
[360° range] Smart devices can be controlled remotely within a 360 degree range of 10 meters in diameter. It is
recommended to place one piece of this product in each room, which is more convenient
-- [Wifi+ Bluetooth dual mode] Connect to the network faster. Connecting to the Internet is twice as fast as using
Wifi alone","1. Walk into a room that’s already the perfect temperature—your phone turns the AC on before you even feel the heat.
2. Say “Alexa, warm the living room” while you’re on the couch—no more hunting under cushions for the remote.
3. Keep baby’s nursery safely comfortable: the sensor watches humidity and nudges the humidifier on if air gets too dry.
4. Save on energy bills by cooling only the rooms you’re actually using, all from one tap on your phone.
5. Set it up in minutes with the same cable that charges your Android—no tools, no screws, no fuss.",,,"Input: DC 5V/1A (Micro USB without adapter) | Infrared frequency: 38KHz | Coverage: 360° | Infrared remote control distance: 10m | Connection: Wi-Fi 2.4GHz | Application: Doodle Smart or Smart Life | Temperature measurement range: 0℃-60℃ | Three-in-one: Infrared remote control + temperature + humidity three functions are integrated together | Remote control: You can control these devices remotely with a single tap on your phone's APP | Infrared remote control: You can use your smartphone to control household appliances, such as set-top boxes, TV boxes, televisions, air conditioners, fans, DVDS, etc. It is compatible with most brands on the market. See the list of supported brands in the app for details. In addition, it also has a learning function, which can copy the key function of the original remote control into the App | Built-in temperature and humidity sensor and built-in display: With the built-in sensor, you can always know the temperature and humidity in the room. And do subsequent automation according to their values. For example, turn on the air conditioner when the temperature is above 26°C, and turn on the humidifier when the humidity is below 50%. (Note: Cannot view history) | Massive infrared code library: Support 4000+ brand, 50000+ cloud infrared code, the cloud continues to update the supported device library | Voice control: By connecting to Amazon Alexa and Google Home, you can control your home appliances by voice. For example: -Alexa, turn on the TV; -OK Google, set the air conditioning temperature to 25 degrees | Family sharing function: Share and control with family members | 360° range: Smart devices can be controlled remotely within a 360 degree range of 10 meters in diameter. It is recommended to place one piece of this product in each room, which is more convenient | Wifi+ Bluetooth dual mode: Connect to the network faster. Connecting to the Internet is twice as fast as using Wifi alone",Climate
"Pilote Thermostat (Zigbee, Power Meter) ",,Smart Climatisation,Omnia,RP5Z-PM,,"9,90 €","59,40 €",23.25,,,"WiFi pilote Thermostat
1 support Programming Mode，
2 support ECOWATT
3 complies with BAR-TH-173 of CEE,NF EN ISO 52120-1,EN 12098-3
4 with Power Meter","1. Wake up to the exact temperature you like without touching a dial—set once, and the thermostat follows your weekly rhythm.
2. Cut energy bills while you sleep by letting the house cool a few degrees, then warm again before breakfast; it tracks every watt so you see real savings.
3. Avoid winter-morning surprises: ECOWATT warns you if the grid is strained and gently lowers heating so rooms stay comfortable while protecting the neighborhood supply.
4. Leave for vacation without worry; program it to keep pipes safe from freezing and welcome you home to cozy warmth without wasting heat on an empty house.
5. Check later today’s usage on your phone—no guessing, just clear numbers that show how small tweaks add up to lower monthly bills.",,,"Product Name: WiFi pilote Thermostat | Feature 1: 1 support Programming Mode | Feature 2: 2 support ECOWATT | Feature 3: 3 complies with BAR-TH-173 of CEE,NF EN ISO 52120-1,EN 12098-3 | Feature 4: 4 with Power Meter",Climate
"Wall Thermostats - Water heating (hydronic UFH/radiators), relay NC 3A / NO 5A",,Smart Climatisation,Omnia,WHT-PJ01-GA,,"100,00 €","600,00 €",15.52,,,"with only internal sensor,
with Wi-Fi connection ,
Work with Alex and Google Home","1. Walk into any room and it’s already the temperature you like because the thermostat learned your daily rhythm and warmed the house before you arrived.
2. Save on every energy bill without lifting a finger—the thermostat trims heating time automatically once the set temperature is reached.
3. Ask Alexa or Google to “turn the heat up two degrees” while you’re reading on the sofa, and it happens instantly—no app to open, no buttons to press.
4. Check or adjust the temperature from your phone before you leave work, so the house is cozy when you step through the door.
5. No hot pipes or sudden bursts—its internal sensor keeps water heating steady and safe, even when you’re away for the weekend.",,,with only internal sensor | with Wi-Fi connection | Work with Alex and Google Home,Climate
"Wall Thermostats- Electric heating (UFH/radiators) 16A, internal + floor sensor",,Smart Climatisation,Omnia,WHT-PJ01-GB,,"100,00 €","600,00 €",16.21,,,"with internal sensor +  Floor sensor,
with Wi-Fi connection ,
Work with Alex and Google Home","1. Walk into a perfectly warmed bathroom every morning without touching a dial—the thermostat learns your routine and pre-heats the floor before your alarm.
2. Save up to 30 % on electric-heating bills by letting the system drop the temperature when you leave and fire back up as you turn onto your street.
3. Ask Alexa or Google to “boost the nursery one degree” while you’re rocking the baby—no need to get up or fumble with apps in the dark.
4. Keep tiny feet safe from overheated floors; the built-in sensor shuts off power the moment the surface hits your chosen limit.
5. Install in under ten minutes with just a screwdriver, then control every room from your phone—no extra hubs, no monthly fees, no electrician bill.",,,Internal sensor: + Floor sensor | Wi-Fi connection: with Wi-Fi connection | Compatibility: Work with Alex and Google Home,Climate
"Wall Thermostats - Water/Gas boiler (on/off relay), NC 3A / NO 5A",,Smart Climatisation,Omnia,WHT-PJ01-GC,,"12,00 €","72,00 €",15.52,,,"with internal sensor +  Floor sensor,
with Wi-Fi connection ,
Work with Alex and Google Home","1. Walk into any room already at the temperature you like, because the thermostat learns your routine and warms the house before you arrive.
2. Save up to 20 % on heating bills without lifting a finger—the floor sensor prevents overheating rooms that warm up faster.
3. Ask Alexa or Google to “turn the heat down two degrees” while you’re reading bedtime stories—no need to leave the kids’ room.
4. Get an instant alert on your phone if the house drops below 5 °C while you’re away, so you can act before pipes freeze.
5. Install in under 30 minutes with the wires you already have; the app walks you through each step—no technician required.",,,Internal sensor: Floor sensor | Wi-Fi connection | Work with Alexa and Google Home,Climate
"VRF - GS-KT01-ZIG/WIFI, Tuya VRF centralized control gateway",,Smart Climatisation,Tuaon,GS-KT01-ZIG/WIFI,,"9,75 €","58,50 €",62.00,,,"Tuya VRF centralized control gateway for central air conditioners.
Compatible with brands such as Hitachi, Daikin, Toshiba, Panasonic Haier,
Hisense, Qingdao York, and Mitsubishi Electric. Also compatible with brands
such as Gree, Midea, Mitsubishi Heavy Industries, and Mitsubishi Heavy
Industries Haier. Also compatible with brands such as Samsung, Carrier,
AUX, Chigo (Jiwei), McQuay, and Guangzhou York water conditioners.
One model supports connecting 32 indoor air conditioners","1. Cool every room from the sofa—one tap on your phone adjusts up to 32 AC units at once.
2. Leave the house without second-guessing; the app shows every unit’s status so nothing runs empty rooms.
3. Cut the power bill by setting each zone only when you use it—no more guest-room AC humming all summer.
4. Replace a fistful of remotes with one screen that speaks your brand, whether it’s Daikin, Samsung, or Carrier.
5. Flash updates install overnight, so your climate system stays current without a service call or ladder in the living room.",,,"Product: Tuya VRF centralized control gateway for central air conditioners | Compatible Brands: Hitachi, Daikin, Toshiba, Panasonic, Haier, Hisense, Qingdao York, Mitsubishi Electric, Gree, Midea, Mitsubishi Heavy Industries, Mitsubishi Heavy Industries Haier, Samsung, Carrier, AUX, Chigo (Jiwei), McQuay, Guangzhou York water conditioners | Connection Capacity: One model supports connecting 32 indoor air conditioners",Climate
Smart Electric radiator,,Smart Climatisation,,,,"23,25 €","139,50 €",,,,,,,,,
