Supplier,Model Number,Product Name,Category,Specifications,Communitcation protocol,Power Source,Country,Image,Price,MOQ,Catalogue,Packing,Status,DESIGNATION FR,REF HEYZACK,Drive Link,Lead Time
TUYA,SC162-WCD3,2K Video Doorbell,Video Door Bell,"Video: 2K HD, Resolution 1536*2048 | Lens: 2.5mm fixed lens | FOV: 170° (D) | Features: Support motion/Human/Package Detection | Digital chime (included) & function Setting by APP | Support bluetooth LE + Wi-Fi & Tamper alarm | Battery: Built-in 5200mAh lithium battery | Design: IP65 | Power supply: AC 8-24V","Wi-Fi, Bluetooth LE","Built-in 5200mAh lithium battery, AC 8-24V",,,$29.5,1000,,,To be ordered,,,https://smart-home-product-images.s3.us-east-1.amazonaws.com/product-images/1PAXH12NDEWWVfm0Hp7-gueAwP_OmHPTR.jpg,
TUYA,LL05-B,Lock BoX,Door Lock,"Storage capacity: 100 pcs (not included) | Materials: Aluminum alloy | Surface treatment: Spray painting process | Battery life: 12 months(AAA)/24 months(CR123A) | Operating temperature: -20°C~55°C | Working environment humidity: 40%RH~85%RH | Salt spray test: 96 hours | Installation: Hooks, self-tapping screws, expansion screws | Supported gateways: Bluetooth Gateway | Certification: CE, FCC, RoHS, IP65",Bluetooth,AAA batteries or CR123A batteries,,,$24.6,1000,,,To be ordered,Cadenas,HZ-SS-LOCK01,https://smart-home-product-images.s3.us-east-1.amazonaws.com/product-images/1Y-VLmCBTIEy6D6Aj08hrfWOKvaDvTq1_.jpg,
OMNIA,IPC176,Battery Solar Spotlight Camera,Camera,"Connectivity: Wi-Fi | Live View: 2K/1080p | Detection: PIR motion detection | Recording: Events recording and notification | Audio: Two-way audio talk | Vision: IR night vision & Color night vision | Alarm: Siren & light alarm | Battery: Rechargeable battery | Weatherproof: IP65 | Image sensor: 2.0MP CMOS (3.0MP optional) | Lens: 100-Degree fixed focus | Video Size: 2304x1296, 1920x1080 | PIR Sensor: Effective distance max 5 meters, Detecting angle 90° | Storage: Micro SD cards up to 128GB for local, cloud storage optional | Wireless Standard: IEEE 802.11 b/g/n, 2.4GHz | Button/Switch: Power switch x1, Reset button x1 | Microphone&Speaker: Yes, built-in | Power Source: Built-in rechargeable lithium battery, Solar power recharger | Dimension: Camera: 90x63x83mm",Wi-Fi 802.11 b/g/n (2.4GHz),"Built-in rechargeable lithium battery, Solar power recharger",,,$28.50,1000,,,To be ordered,Caméra projecteur à batterie solaire,HZ-SS-CAMEX01,https://smart-home-product-images.s3.us-east-1.amazonaws.com/product-images/1qAg2bJNN61L5r3yzmDSTUKJJlKpXQB6M.jpg,
OMNIA,BCM005,Baby Monitor,Camera,"Monitor: 2.8""/2.4"" HD portable monitor | Features: Plug and play | Real time live view | Two-way audio | Crying detection | IR night vision | Preset lullabies | Connection: 300 meters in open field | Flexible bracket for camera | Low consumption system with built-in battery | Camera resolution: VGA(640x480) | Camera lens: FOV 100° | Night vision: 940nm no RED dots | Audio: Built-in Mic and speaker | Monitor Display: 2.4""TFT screen with brightness adjustable (2.8"" optional) | Power supply: Built-in rechargeable battery for monitor, DC 5V/1A Type-C USB for both camera and monitor",RF (300m range),"Built-in rechargeable battery, DC 5V/1A USB Type-C",,,,,,,Not selected,Bébé Moniteur,HZ-SS-CAMINT03,,
OMNIA,BCM003,Baby Monitor,Baby Monitor,"Camera spec: Wi-Fi connectivity 2.4GHz & 900MHz dual band | Wireless control from app at anywhere anytime | Full HD 1080p video /H.264 | Crying detection | Siren alarm | Motion detection | Two-way audio | Preset lullabies | Temperature detector and alert | Local storage | Monitor Spec: 5"" HD display(1280x720) | Rechargeable battery | Transmission distance up to 300M | Two-way audio | Feeding reminder | Lullaby player | Temperature/Crying alerts",Wi-Fi (2.4GHz & 900MHz dual band),Rechargeable battery,,,,,,,Not selected,Bébé Moniteur,HZ-SS-CAMINT04,,
OMNIA,IPC180 V2,Baby Monitor,Baby Monitor,"Live view: 2K/1080p | Connectivity: Wi-Fi | Display: 2.4""IPS screen with two-way video | Vision: IR night vision | Pan/Tilt: Horizontal 355° monitor by App | Features: Night lamp | Temperature detector and alert | One-press to call-out | Viewing angle: 100-degree | Smart clock | Siren alarm | Charging: Type-C | Local storage",Wi-Fi,USB Type-C,,,,,,,To be ordered,,,,
OMNIA,IPC263,Baby Monitor,Baby Monitor,Audio: Two-way audio talk | Vision: Night vision | Features: Preset lullabies | Soft touch silicone case | Local storage | Connectivity: Wi-Fi | Live view: 2K/1080p | Temperature detector and alert | Night lamp | Motion detection | Crying detection,Wi-Fi,Not specified,,,,,,,Not selected,,,,
OMNIA,IPC211 V2,Baby Monitor,Baby Monitor,"Connectivity: Wi-Fi | Live view: 2K/1080p | Detection: Motion detection, Crying detection | Audio: Two-way audio talk | Vision: Night vision | Features: Preset lullabies | Soft touch silicone case | Local storage",Wi-Fi,Not specified,,,,,,,Not selected,,,,
OMNIA,IPC180,Baby Monitor,Baby Monitor,Live view: 2K/1080p | Connectivity: Wi-Fi | Audio: Two-way audio | Vision: IR night vision | Pan/Tilt: Horizontal 355° monitor by App | Features: Night lamp | Temperature detector and alert | One-press to call-out | Viewing angle: 100-degree | Smart clock | Siren alarm | Charging: Type-C | Local storage (Max.128GB),Wi-Fi,USB Type-C,,,,,,,Not selected,Bébé Moniteur,HZ-SS-CAMINT05,https://smart-home-product-images.s3.us-east-1.amazonaws.com/product-images/1sIkhV5AdP1VwFZ6lJh0VECYNWRGSc3JY.jpg,
OMNIA,IPC208,Indoor Rotatable Camera,Camera,"Connectivity: Wi-Fi (2.4G & 5GHz) | Video: 2K/1080p live view and video recording | Pan & Tilt: 355°, 50° | Features: Privacy protection mode, Human motion and sound detection, Real time notification and recording, Two-way audio talk, IR Night vision | Storage: Micro SD local storage(cloud storage optional) | Image sensor: 2.0MP Sensor(3.0MP/4.0MP optional) | Lens: View Angle 100° | Night vision: IR night vision | Power source: Power adapter 5V/1.0A | Button/Switch: Reset button, USB-C for power | Microphone&Speaker: Yes, built-in | File Format: Video:.mp4(H.264), Photo: .jpg | Supported O/S versions: Android 5.0 and later, iOS 10.0 and later | Dimension: 71x68x110mm",Wi-Fi (2.4G & 5GHz),"DC 5V/1A adapter, USB-C",,,,,,,Not selected,Caméra intérieure rotative,HZ-SS-CAMINT06,,
OMNIA,IPC286,Indoor Rotatable Camera,Camera,"Live view: 2K/1080p | Connectivity: Wi-Fi (2.4G & 5GHz) | Control: Monitor by app at anytime anywhere | Pan & tilt: 355°, 180° | Features: Privacy protection mode, Human motion/sound detection, Two-way audio talk, Night vision, Local storage",Wi-Fi (2.4G & 5GHz),Not specified,,,2MP： US$ 10.8 / 3MP: US$ 11.44 ok for 3,1000,,,To be ordered,,,https://smart-home-product-images.s3.us-east-1.amazonaws.com/product-images/17_D5DnKHuBwvNgtaabMOD-rHVl3hY-bF.jpg,
OMNIA,IPC167-B,Indoor Rotatable Camera,Camera,"Live view: 2K/1080p | Connectivity: Wi-Fi (2.4G & 5GHz) | Control: Monitor by app at anytime anywhere | Pan & tilt: 355°, 180° | Features: Privacy protection mode, Human motion/sound detection, Two-way audio talk, Night vision, Local storage",Not specified,Not specified,,,,,,,Not selected,Caméra intérieure rotative,HZ-SS-CAMINT07,,
OMNIA,IPC167,Indoor Rotatable Camera,Camera,"Live view: 2K/1080p | Connectivity: Wi-Fi (2.4G & 5GHz) | Control: Monitor by app at anytime anywhere | Pan & tilt: 355°, 180° | Features: Privacy protection mode, Human motion/sound detection, Two-way audio talk, Night vision, Local storage",Not specified,Not specified,,,,,,,Not selected,,,,
OMNIA,T777,Indoor Rotatable Camera,Camera,"Live view: 2K/1080p | Connectivity: Wi-Fi (2.4G & 5GHz) | Control: Monitor by app at anytime anywhere | Pan & tilt: 355°, 180° | Features: Privacy protection mode, Human motion/sound detection, Two-way audio talk, Night vision, Local storage",Not specified,Not specified,Universal,,,,,,Not selected,,,,
OMNIA,T726,Indoor Rotatable Camera,Camera,"Live view: 2K/1080p | Connectivity: Wi-Fi (2.4G & 5GHz) | Control: Monitor by app at anytime anywhere | Pan & tilt: 355°, 180° | Features: Privacy protection mode, Human motion/sound detection, Two-way audio talk, Night vision, Local storage",Not specified,Not specified,,,,,,,Not selected,,,,
OMNIA,IPC267,Indoor Rotatable Camera,Camera,"Live view: 2K/1080p | Connectivity: Wi-Fi (2.4G & 5GHz) | Control: Monitor by app at anytime anywhere | Pan & tilt: 355°, 180° | Features: Privacy protection mode, Human motion/sound detection, Two-way audio talk, Night vision, Local storage",Not specified,Not specified,,,,,,,To be ordered,,,https://smart-home-product-images.s3.us-east-1.amazonaws.com/product-images/1h1zOdsK1TR6czVueQ7VjtF92GHK3GgS8.jpg,
OMNIA,IPC181,Indoor Fixed Camera,Camera,"Live view: 2K/1080p | Connectivity: Wi-Fi & Bluetooth | Control: Monitor by app at anytime anywhere | Features: One press to call-out, Human motion/sound detection, Two-way audio talk, Night vision, Local storage, 360-degree bracket",Not specified,Not specified,,,,,,,Not selected,,,,
OMNIA,IPC201,Indoor Fixed Camera,Camera,"Live view: 2K/1080p | Connectivity: Wi-Fi & Bluetooth | Control: Monitor by app at anytime anywhere | Features: Human motion/sound detection, Two-way audio talk, Night vision, Local storage",Not specified,Not specified,,,"2MP: US$10.2 / 3MP: US$ 10.5

",1000,,,Not selected,,,,
OMNIA,IPC201B,Indoor Fixed Camera,Camera,"Live view: 2K/1080p | Connectivity: Wi-Fi & Bluetooth | Control: Monitor by app at anytime anywhere | Features: Human motion/sound detection, Two-way audio talk, Night vision, Local storage",Not specified,Not specified,,,,,,,Not selected,Caméra intérieure fixe,HZ-SS-CAMINT08,,
OMNIA,IPC211,Indoor Fixed Camera,Camera,"Live view: 2K/1080p | Connectivity: Wi-Fi & Bluetooth | Control: Monitor by app at anytime anywhere | Features: Human motion/sound detection, Two-way audio talk, Night vision, Local storage",Not specified,Not specified,,,,,,,Not selected,,,,
OMNIA,IPC135,Indoor Fixed Camera,Camera,"Live view: 2K/1080p | Connectivity: Wi-Fi & Bluetooth | Control: Monitor by app at anytime anywhere | Features: Human motion/sound detection, Two-way audio talk, Night vision, Local storage",Not specified,Not specified,,,,,,,Not selected,,,,
OMNIA,IPC138,Indoor Fixed Camera,Camera,"Live view: 2K/1080p | Connectivity: Wi-Fi & Bluetooth | Control: Monitor by app at anytime anywhere | Features: Human motion/sound detection, Two-way audio talk, Night vision, Local storage",WiFi & Bluetooth,Not specified,,,,,,,Not selected,,,,
OMNIA,IPC185,Outdoor Lighting Camera,Camera,"Connectivity: Wi-Fi (2.4G & 5GHz) | Video: 2K/1080P live view and video recording | Viewing angle: 100-degree | Control: Monitor by app at anytime anywhere | Features: 350 lumen spotlight, Human motion/sound detection, Two-way audio talk, IR/color night vision, Siren alarm | Weatherproof: IP65 | Image sensor: 3.0MP/2.0MP CMOS | Lens: 100-degree fixed focus | Video Size: 2304x1296/1920x1080 | Light: 350 lumen effective spotlight | Storage: Micro SD cards up to 128GB for local, cloud storage optional | Wireless Standard: IEEE 802.11 b/g/n, 2.4GHz | Microphone: Yes, built-in | Speaker: Yes, built-in | Power Source: DC power | File Format: Video:.MP4(H.264), Photo: .jpg | Dimension: 67x118x67mm",Wi-Fi (2.4G & 5GHz),Not specified,,,,,,,Not selected,Caméra d'éclairage extérieur,HZ-SS-CAMEX03,,
OMNIA,IPC207,Outdoor Camera,Camera,"Connectivity: Wi-Fi (2.4G & 5 GHz) | Video: 2K resolution live view | Audio: Two-way audio talk | Detection: Human motion detection, Sound detection | Features: Siren alarm, Night vision | Weatherproof: IP65",Wi-Fi (2.4G & 5GHz),Not specified,,,,,,,To be ordered,,,https://smart-home-product-images.s3.us-east-1.amazonaws.com/product-images/16J1uNJM8AhXOjexfWUeTgUg7rzgWub5J.jpg,
OMNIA,IPC178,Outdoor Camera,Camera,"Connectivity: Wi-Fi (2.4G & 5GHz) | Video: Full HD 1080p live view | Audio: Two-way audio talk | Detection: Human motion detection, Sound detection | Features: Siren alarm, Night vision | Weatherproof: IP65",Wi-Fi (2.4G & 5GHz),Not specified,,,,,,,Not selected,Caméra extérieur,HZ-SS-CAMEX04,,
OMNIA,IPC198,Outdoor Camera,Camera,"Connectivity: Wi-Fi (2.4G & 5GHz) | Video: HD 720p live view | Audio: Two-way audio talk | Detection: Human motion detection, Sound detection | Features: Siren alarm, Night vision | Weatherproof: IP65",Wi-Fi (2.4G & 5GHz),Not specified,,,$13.20,1000,,,To be ordered,,,https://smart-home-product-images.s3.us-east-1.amazonaws.com/product-images/1ZSDBQ2_S3CIlNKqa_X6hvW-4M7OgGhhu.jpg,
OMNIA,IPC809,Outdoor Wi-Fi DC Camera,Camera,"Video: 2K/1080p live view and video | Connectivity: Wi-Fi (2.4G & 5 GHz) | Vision: IR night vision / Color night vision | Lens: 100-Degree | Pan & tilt: monitor by app | Audio: Two-way audio | Alarm: Siren alarm & flash light | Detection: Human motion & sound detection with push notification by app, Motion tracking | Storage: Micro SD card slot (local storage supported) | Weatherproof: IP65",Wi-Fi (2.4G & 5GHz),Not specified,,,$19.80,1000,,,Not selected,,,,
OMNIA,IPC808,Outdoor Wi-Fi DC Camera,Camera,"Video: 2K/1080p live view and video | Connectivity: Wi-Fi (2.4G & 5 GHz) | Vision: IR night vision / Color night vision | Lens: 100-Degree | Pan & tilt: monitor by app | Audio: Two-way audio | Alarm: Siren alarm & flash light | Detection: Human motion & sound detection with push notification by app, Motion tracking | Storage: Micro SD card slot (local storage supported) | Weatherproof: IP65",Wi-Fi (2.4G & 5GHz),Not specified,,,"3MP: US$ 17.5 / 4MP: US$ 18

",1000,,,Not selected,,,,
OMNIA,IPC173,Outdoor Wi-Fi DC Camera,Camera,"Video: 2K/1080p live view and video | Connectivity: Wi-Fi (2.4G & 5 GHz) | Vision: IR night vision (color light vision with LED) | Alarm: Light & Siren alarm | Pan & Tilt: 350°, 90° | Audio: Two-way audio | Waterproof: IP54 | Storage: Micro SD card slot (max.256GB)",Wi-Fi (2.4G & 5GHz),Not specified,,,,,,,To be ordered,,,https://smart-home-product-images.s3.us-east-1.amazonaws.com/product-images/1wMdPlORDuFTeyOyAZnpwCCAES2AXqiq2.jpg,
OMNIA,IPC302,Outdoor Camera,Camera,Video: 2K/1080p live view and video | Connectivity: Wi-Fi (2.4G & 5GHz) | Vision: IR night vision | Audio: Two-way audio | Alarm: Siren alarm | Detection: Human detection | Weatherproof: IP65 | Storage: Micro SD card slot (max.256GB),Wi-Fi (2.4G & 5GHz),Not specified,,,,,,,Not selected,,,,
OMNIA,IPC705,Outdoor Camera,Camera,Video: 2K live view and video | Connectivity: Wi-Fi (2.4G & 5GHz) | Vision: IR night vision | Audio: Two-way audio | Alarm: Siren alarm | Detection: Human detection | Weatherproof: IP66 | Storage: Micro SD card slot (max.256GB) | Housing: Metallic | Options: ONVIF/POE,Wi-Fi (2.4G & 5GHz),Not specified,,,,,,,Not selected,,,,
OMNIA,IPC709,Outdoor Camera,Camera,Video: 2K live view and video | Connectivity: Wi-Fi (2.4G & 5GHz) | Vision: IR night vision | Audio: Two-way audio | Alarm: Siren alarm | Detection: Human detection | Weatherproof: IP66 | Storage: Micro SD card slot (max.256GB) | Housing: Metallic | Options: ONVIF/POE,Wi-Fi (2.4G & 5GHz),Not specified,,,,,,,Not selected,,,,
OMNIA,T771,Outdoor Dual Camera DC Camera,Camera,"Camera: Dual 2MP(1080P) with 4X zoom in | Connectivity: Wi-Fi | Vision: IR night vision | Pan & tilt: monitor by app | Features: Motion tracking, Two-way audio, Siren alarm & light flash, Human motion & sound detection with push notification | Storage: Micro SD card slot (local storage supported) | Weatherproof: IP65",Wi-Fi,Not specified,,,,,,,Not selected,Caméra extérieure double DC,HZ-SS-CAMEX06,,
OMNIA,T722,Outdoor Dual-Lens Camera,Camera,"Lenses: Dual 2MP(1080P) | Connectivity: 2.4GHz Wi-Fi | Vision: IR night vision | Control: Pan & tilt monitor by app | Features: Motion tracking, Two-way audio, Siren alarm & Light flash, Human motion & sound detection with push notification, Micro SD card slot | Weatherproof: IP65 | Sensor: 2MP CMOS*2 | Network standard: 2.4GHz Wi-Fi | Focus: 2.8mm & 8mm dual lenses | Video: H.264/H.265 | Night distance: 0-20 Meters | Day/Night: Auto(ICR)Color/B&W, Night vision full-color | Audio Input/Output: Built-in microphone/Speaker | Power Supply: 12V/1A | Operate temperature: -20°C - 50°C",Wi-Fi (2.4G),Not specified,,,,,,,Not selected,,,,
OMNIA,IPC216-C,Outdoor Wi-Fi Battery Camera,Camera,Sensor: 2MP CMOS | Video: Full 1080p live view and video | Connectivity: 2.4GHz Wi-Fi (4G version optional) | Vision: IR night vision / color night vision | Lens: 100-Degree | Control: Pan & tilt monitor by app | Audio: Two way audio | Detection: Human detection with push notification by app | Power: 6W solar panel & 7800mAh rechargeable battery | Alarm: Siren alarm | Storage: Micro SD card slot (local storage supported) | Weatherproof: IP65,Wi-Fi (2.4G),Not specified,,,,,,,To be ordered,,,https://smart-home-product-images.s3.us-east-1.amazonaws.com/product-images/1SttSJ87foa1-YM6ZyrWMxL3dVooIioRx.jpg,
OMNIA,WN-778,Wireless NVR Kit with Screen,Camera,"Screen: 7"" Touch screen with 4 channel online viewing | Connectivity: Wireless, installation free | Camera: 2K ultra resolution with low consumption battery powered camera | Detection: Human & sound detection | Vision: IR night vision, 100-Degree viewing angle | Audio: Two way audio | Notification: Events alert and push notification | Storage: Micro SD local (on the screen) and cloud storage",Not specified,Not specified,,,,,,,Not selected,,,,
OMNIA,IPC750,Outdoor 4G Battery Camera,Camera,Video: 2K/1080p live view and video | Connectivity: 4G LTE network | Vision: IR night vision | Lens: 100-Degree | Control: Pan & Tilt monitor by app | Audio: Two way audio | Power: 8W solar panel & 13200mAH rechargeable battery | Detection: Human motion with push notification by app | Storage: Micro SD card slot (local storage supported) | Weatherproof: IP65,"4G LTE, IR",Solar panel (8W) & 13200mAH rechargeable battery,,,,,,,To be ordered,Caméra extérieure 4G rotative à batterie,HZ-SS-CAMEX08,https://smart-home-product-images.s3.us-east-1.amazonaws.com/product-images/1kzBuQpklMkPom3W1XPMvzbwLv3cjWpfh.jpg,
OMNIA,IPL103,Outdoor Lighting Camera,Camera,Connectivity: Wi-Fi | Video: Full HD 1080p live view | Light: 600 lumen light controlled by app | Lens: Manually adjustable lens angle | Detection: PIR motion detection | Audio: Two-way audio talk | Alarm: Siren & light alarm | Vision: IR night vision | Weatherproof: IP54,"Wi-Fi, IR",Not specified,,,,,,,Not selected,,,,
OMNIA,T775,Outdoor Lighting Camera,Camera,Connectivity: Wi-Fi | Video: 2K/1080p live view | Control: Pan & tilt monitor by app | Vision: Spotlight and color night vision | Detection: Human motion detection | Audio: Two-way audio talk | Alarm: Siren alarm | Base: E26/E27 light bulb base,Wi-Fi,E26/E27 light bulb base (AC powered),,,,,,,Not selected,,,,
TUYA,TPP01-Z（EU）,Smart Control Panel S,Smart Control Panel,"Screen: 4 inch HD LCD multi-touch screen | Gateway: Build in Zigbee gateway | Voice: Alexa build in | Control: Intercom, APP control, Door bell/lock/camera answering | Wi-Fi: RTL8723DS Uplink 2.4GHz | Zigbee: TYZS13 Downlink Zigbee | ZigbeeHub: Yes, 80+ Zigbee device can be added | Input: 100-240 VAC, 50/60Hz, Live & Neural Wire | Wireless Protocols: Wi-Fi, Zigbee, Sigmesh | Working Temperature: 0°C-40°C | Working Humidity: 5%-90%RH(Non-condensing) | Dimensions: 86*86*36.3mm | Mic Quantity: 2 | Speaker Quantity: 1 (1W) | Antenna: 2 Built-in shell","Wi-Fi, Zigbee, Sigmesh",AC 100-240V,,,,,,,Not selected,,,,
AVATTO,P6E Pro,Smart Control Panel L,Smart Control Panel,"Screen: 5 inch HD LCD Multi-touch screen | Gateway: Build in zigbee /BLE Mesh Gateway | Control: Intercom, APP Control, 2 Gang Light Switch, RJ45 Ethernet, RS485 Modbus | Voice: Alexa Build in | Wi-Fi: RTL8733BS Uplink 2.4GHz, 5GHz | Zigbee: ZS13S Downlink Zigbee | Zigbee Hub: Yes, 80+ Zigbee device can be added | Wireless Protocols: Wi-Fi, Zigbee, Sigmesh | Wired Network: 100M RJ45 | Dimensions: 72*127.3*36.5mm","Wi-Fi (2.4GHz/5GHz), Zigbee, Sigmesh, Ethernet",Not specified,,,"1-99：85.08
100-500：83.68",1,,,Not selected,,,,
AVATTO,T6E-P,Smart Control Panel,Smart Control Panel,"Features: Quick Control, View Camera & Unlock on Screen, Intercom, 3 Gang Light Switch, Bluetooth Gateway, Infrared Remote Control | Screen: 3.5inch 320*480 Multi-touch capacitive screen | Wi-Fi: RTL8733BS Uplink 2.4GHz, 5GHz | Gateway: Bluetooth | Wireless Protocols: Wi-Fi, Sigmesh, IR | Wired Network: 100M RJ45 | Modbus: RS485 interface | Dimensions: 86*86*35.5mm | Voice Control: Works with Alexa/Google Assistant","Wi-Fi (2.4GHz/5GHz), Sigmesh, IR, Bluetooth, Ethernet",Not specified,,,49$,100,,,Not selected,,,,
